season,round,pick,team,name,position,college,conference,day_of_birth,age,top_executive,link_ras,RAS,AllTime
2022,6,218,TB,Ko Kieft,TE,Minnesota,Big Ten,1998-01-20,24.61,Jason Licht,http://RAS.football/ras-information/?PlayerID=21237,3.66,3.66
2022,6,219,TEN,Chance Campbell,LB,Ole Miss,SEC,1999-10-08,22.9,Jon Robinson,http://RAS.football/ras-information/?PlayerID=21569,9.7,9.7
2022,6,220,SF,Kalia Davis,DT,UCF,The American,1998-10-02,23.92,John Lynch,http://RAS.football/ras-information/?PlayerID=21385,NA,NA
2022,6,221,SF,Tariq Castro-Fields,CB,Penn State,Big Ten,1999-01-14,23.63,John Lynch,http://RAS.football/ras-information/?PlayerID=21068,9.74,9.74
2022,7,222,JAX,Montaric Brown,CB,Arkansas,SEC,1999-08-24,23.02,Trent Baalke,http://RAS.football/ras-information/?PlayerID=21428,4.25,4.25
2022,7,223,CLE,Isaiah Thomas,DE,Oklahoma,Big 12,1998-12-03,23.75,Andrew Berry,http://RAS.football/ras-information/?PlayerID=20982,9.16,9.16
2022,7,223,CLE,Isaiah Thomas,DE,Oklahoma,Big 12,1998-12-03,23.75,Andrew Berry,http://RAS.football/ras-information/?PlayerID=21966,0.1,0.1
2022,7,224,MIA,Cameron Goode,LB,California,Pac-12,1998-04-15,24.38,Chris Grier,http://RAS.football/ras-information/?PlayerID=21292,9.45,9.45
2022,7,225,PIT,Mark Robinson,LB,Ole Miss,SEC,1999-08-14,23.05,Kevin Colbert,http://RAS.football/ras-information/?PlayerID=22140,6.38,6.38
2022,7,226,CHI,Ja'Tyre Carter,OG,Southern,SWAC,1999-01-15,23.63,Ryan Poles,http://RAS.football/ras-information/?PlayerID=21028,6.31,6.31
2022,7,227,MIN,Nick Muse,TE,South Carolina,SEC,1998-11-25,23.77,Kwesi Adofo-Mensah,http://RAS.football/ras-information/?PlayerID=21254,8.8,8.8
2022,7,228,GB,Tariq Carpenter,LB,Georgia Tech,ACC,1998-12-28,23.68,Brian Gutekunst,http://RAS.football/ras-information/?PlayerID=21341,8.92,8.92
2022,7,229,SEA,Bo Melton,WR,Rutgers,Big Ten,1999-05-18,23.29,John Schneider,http://RAS.football/ras-information/?PlayerID=21121,9.24,9.24
2022,7,230,WAS,Chris Paul,OG,Tulsa,The American,1998-11-18,23.79,Martin Mayhew,http://RAS.football/ras-information/?PlayerID=21177,9.47,9.47
2022,7,231,BUF,Baylon Spector,LB,Clemson,ACC,1998-10-20,23.87,Brandon Beane,http://RAS.football/ras-information/?PlayerID=21145,9.14,9.14
2022,7,232,DEN,Faion Hicks,DB,Wisconsin,Big Ten,2000-09-02,22,George Paton,http://RAS.football/ras-information/?PlayerID=21426,7.86,7.86
2022,7,233,SEA,Dareke Young,WR,Lenoir–Rhyne,SAC,1999-06-04,23.24,John Schneider,http://RAS.football/ras-information/?PlayerID=21570,9.93,9.93
2022,7,234,GB,Jonathan Ford,DT,Miami (FL),ACC,1998-09-29,23.92,Brian Gutekunst,http://RAS.football/ras-information/?PlayerID=21280,3.54,3.54
2022,7,235,LA,Daniel Hardy,LB,Montana State,Big Sky,1998-12-15,23.71,Les Snead,http://RAS.football/ras-information/?PlayerID=22714,9.34,9.34
2022,7,236,LAC,Deane Leonard,CB,Ole Miss,SEC,1999-11-20,22.78,Tom Telesco,http://RAS.football/ras-information/?PlayerID=22143,7.68,7.68
2022,7,237,DET,Chase Lucas,CB,Arizona State,Pac-12,1997-03-04,25.49,Brad Holmes,http://RAS.football/ras-information/?PlayerID=21322,8.9,8.9
2022,7,238,LV,Thayer Munford,OT,Ohio State,Big Ten,1999-09-18,22.95,Dave Ziegler,http://RAS.football/ras-information/?PlayerID=21276,6.75,6.75
2022,7,239,IND,Rodney Thomas II,S,Yale,Ivy,NA,NA,Chris Ballard,http://RAS.football/ras-information/?PlayerID=22732,9.24,9.24
2022,7,240,WAS,Christian Holmes,CB,Oklahoma State,Big 12,1997-09-14,24.96,Martin Mayhew,http://RAS.football/ras-information/?PlayerID=21332,9.11,9.11
